number,educ,gender,idnumber,jobcat,logsal,logsalbegin,minority,salary,salbegin
42,15,1,42,1,10.46595641,9.71111566,0,35100,16500
43,12,1,43,1,10.05406041,9.564512186,0,23250,14250
44,8,1,44,1,10.28363485,9.564512186,0,29250,14250
45,12,1,45,2,10.33364527,9.510444964,0,30750,13500
46,15,0,46,1,10.0145816,9.453286551,0,22350,12750
47,12,0,47,1,10.30895266,9.71111566,0,30000,16500
48,12,1,48,2,10.33364527,9.553930076,0,30750,14100
49,15,1,49,1,10.45737267,9.71111566,0,34800,16500
50,16,1,50,3,11.00209984,10.07449535,0,60000,23730
51,12,1,51,1,10.47869544,9.61580548,0,35550,15000
52,15,1,52,1,10.71774556,9.61580548,0,45150,15000
53,18,1,53,3,11.20843627,10.17542127,0,73750,26250
54,12,1,54,1,10.12862911,9.510444964,0,25050,13500
55,12,1,55,1,10.20359215,9.61580548,0,27000,15000
56,15,1,56,1,10.1980211,9.510444964,0,26850,13500
57,15,1,57,1,10.43117029,9.664595644,0,33900,15750
58,15,0,58,1,10.18111929,9.510444964,0,26400,13500
59,15,1,59,1,10.24174391,9.564512186,1,28050,14250
60,12,1,60,1,10.33851146,9.61580548,1,30900,15000
61,8,1,61,1,10.02127059,9.185022564,1,22500,9750
62,16,1,62,3,10.77895629,9.987369037,0,48000,21750
63,17,1,63,3,10.91508846,10.17542127,0,55000,26250
64,16,1,64,3,10.88040291,9.952277717,0,53125,21000
65,8,1,65,1,9.994241916,9.585346273,0,21900,14550
66,19,1,66,3,11.26606539,10.30895266,0,78125,30000
67,16,1,67,3,10.73639668,9.963641475,0,46000,21240
68,16,1,68,3,10.71995795,9.974877549,0,45250,21480
69,16,1,69,3,10.94288048,10.1266311,0,56550,25000
70,15,1,70,1,10.6237634,9.915910073,0,41100,20250
71,17,1,71,3,11.32055357,10.46253175,0,82500,34980
72,16,0,72,1,10.89673933,9.798127037,0,54000,18000
73,12,0,73,1,10.18111929,9.259130536,0,26400,10500
74,15,0,74,1,10.43117029,9.878169745,0,33900,19500
75,15,0,75,1,10.09203966,9.354440716,0,24150,11550
76,15,0,76,1,10.28363485,9.354440716,0,29250,11550
77,12,0,77,1,10.22557105,9.341368634,0,27600,11400
78,12,0,78,1,10.04107322,9.259130536,0,22950,10500
79,16,0,79,1,10.45737267,9.585346273,0,34800,14550
80,16,0,80,1,10.83958091,9.798127037,0,51000,18000
81,12,0,81,1,10.09823163,9.301094735,0,24300,10950
82,12,0,82,1,10.11658077,9.564512186,1,24750,14250
83,12,0,83,1,10.04107322,9.328123408,1,22950,11250
84,8,0,84,1,10.12862911,9.301094735,1,25050,10950
85,15,1,85,1,10.16392689,9.746833742,0,25950,17100
86,15,1,86,1,10.36249343,9.664595644,0,31650,15750
87,12,1,87,1,10.09203966,9.553930076,0,24150,14100
88,19,1,88,3,11.19134184,10.26604516,0,72500,28740
89,19,1,89,3,11.13823202,10.22121375,0,68750,27480
90,8,0,90,1,9.692766521,9.185022564,0,16200,9750
91,12,0,91,1,9.908475094,9.328123408,0,20100,11250
92,8,0,92,1,10.08580911,9.301094735,0,24000,10950
93,12,0,93,1,10.16392689,9.301094735,0,25950,10950
94,12,0,94,1,10.11050172,9.215327913,0,24600,10050
95,12,0,95,1,10.25765937,9.259130536,0,28500,10500
96,8,1,96,2,10.33364527,9.61580548,1,30750,15000
97,17,1,97,1,10.60162227,9.878169745,1,40200,19500
98,8,1,98,2,10.30895266,9.61580548,1,30000,15000
99,12,0,99,1,10.00106788,9.301094735,1,22050,10950
100,18,1,100,3,11.26766411,10.22121375,0,78250,27480
101,16,1,101,3,11.01246263,10.02127059,0,60625,22500
102,14,1,102,1,10.5941316,9.664595644,0,39900,15750
103,19,1,103,3,11.48246626,10.46338901,0,97000,35010
104,15,1,104,1,10.22012145,9.664595644,0,27450,15750
105,15,1,105,1,10.36249343,9.510444964,0,31650,13500
106,19,1,106,3,11.42135827,10.2918065,0,91250,29490
107,12,0,107,1,10.13459927,9.574983486,0,25200,14400
108,12,0,108,1,9.952277717,9.354440716,0,21000,11550
109,12,1,109,1,10.32384127,9.61580548,1,30450,15000
110,15,1,110,1,10.25238231,9.798127037,1,28350,18000
111,12,1,111,2,10.33364527,9.104979856,1,30750,9000
112,12,1,112,2,10.33364527,9.61580548,1,30750,15000
113,16,1,113,3,10.91281315,10.22121375,0,54875,27480
114,14,1,114,1,10.54006438,9.71111566,0,37800,16500
115,15,1,115,1,10.41780707,9.553930076,0,33450,14100
116,15,1,116,1,10.31890299,9.71111566,0,30300,16500
117,12,0,117,1,10.35774282,9.838949031,0,31500,18750
118,12,0,118,1,10.36249343,9.564512186,0,31650,14250
119,12,0,119,1,10.13459927,9.553930076,0,25200,14100
120,16,0,120,3,10.54006438,9.664595644,0,37800,15750
121,15,0,121,1,9.838949031,9.259130536,0,18750,10500
122,15,0,122,1,10.39053265,9.510444964,0,32550,13500
123,12,0,123,1,10.41331268,9.61580548,0,33300,15000
124,16,0,124,1,10.55971138,9.71111566,0,38550,16500
125,12,1,125,1,10.22012145,9.61580548,1,27450,15000
126,15,1,126,2,10.09823163,9.61580548,1,24300,15000
127,12,1,127,2,10.33364527,9.61580548,1,30750,15000
128,12,0,128,1,9.885832617,9.185022564,1,19650,9750
129,17,1,129,3,11.13823202,10.22230485,0,68750,27510
130,20,1,130,3,10.99162854,10.30895266,0,59375,30000
131,15,1,131,1,10.35774282,9.664595644,0,31500,15750
132,12,1,132,1,10.21464198,9.755567422,0,27300,17250
133,15,1,133,1,10.20359215,9.664595644,0,27000,15750
134,16,0,134,3,10.6346528,10.12623102,0,41550,24990
135,12,0,135,1,10.17542127,9.301094735,0,26250,10950
136,12,1,136,1,10.00784757,9.61580548,0,22200,15000
137,21,1,137,3,11.08214255,10.53209621,0,65000,37500
138,12,1,138,1,10.33851146,9.61580548,0,30900,15000
139,8,0,139,1,9.908475094,9.487972109,0,20100,13200
140,12,0,140,1,10.0145816,9.510444964,0,22350,13500
141,15,0,141,1,10.47869544,9.499271664,0,35550,13350
142,12,0,142,1,10.25765937,9.543234787,0,28500,13950
143,12,0,143,1,10.10438549,9.487972109,0,24450,13200
144,8,0,144,1,9.720165495,9.185022564,0,16650,9750
145,12,1,145,1,10.19241884,9.510444964,1,26700,13500
146,18,1,146,1,10.6908079,10.05406041,1,43950,23250
147,15,1,147,1,10.07323033,9.510444964,1,23700,13500
148,15,0,148,1,10.18678503,9.564512186,1,26550,14250
149,12,1,149,1,10.22557105,9.61580548,0,27600,15000
150,12,1,150,1,10.15812977,9.61580548,0,25800,15000
151,16,1,151,3,10.65254237,10.17542127,0,42300,26250
152,8,1,152,2,10.33364527,9.61580548,0,30750,15000
153,12,0,153,1,10.19241884,9.46498259,0,26700,12900
154,12,0,154,1,9.945109227,9.392661929,0,20850,12000
155,15,1,155,1,10.47022081,9.61580548,1,35250,15000
156,15,1,156,1,10.19241884,9.61580548,1,26700,15000
157,12,0,157,1,10.18678503,9.476543413,1,26550,13050
158,12,0,158,1,10.23099112,9.392661929,1,27750,12000
159,16,0,159,1,10.12862911,9.453286551,1,25050,12750
160,16,1,160,3,11.09741002,10.76827444,0,66000,47490
161,16,1,161,1,10.87142152,9.878169745,0,52650,19500
162,16,1,162,3,10.72821109,10.05406041,0,45625,23250
163,15,1,163,1,10.33851146,9.61580548,0,30900,15000
164,15,0,164,1,10.28874995,9.71111566,0,29400,16500
165,15,0,165,1,10.41331268,9.510444964,0,33300,13500
166,12,0,166,1,9.994241916,9.185022564,0,21900,9750
167,12,0,167,1,9.80642584,9.185022564,0,18150,9750
168,16,0,168,3,10.75523976,9.755567422,0,46875,17250
169,12,1,169,1,10.14643373,9.574983486,1,25500,14400
170,12,1,170,1,10.18678503,9.61580548,1,26550,15000
171,12,1,171,1,10.19241884,9.510444964,1,26700,13500
172,15,0,172,1,10.30394012,9.61580548,1,29850,15000
173,20,1,173,3,11.14547842,10.65678866,0,69250,42480
174,8,1,174,2,10.37192746,9.61580548,0,31950,15000
175,8,1,175,1,10.17542127,9.655026193,0,26250,15600
176,16,0,176,1,10.48290597,9.755567422,0,35700,17250
177,12,0,177,1,10.25765937,9.71111566,0,28500,16500
178,12,0,178,1,9.746833742,9.230142999,0,17100,10200
179,12,1,179,1,10.13459927,9.476543413,1,25200,13050
180,12,0,180,1,10.08580911,9.453286551,1,24000,12750
181,12,0,181,1,10.22012145,9.230142999,1,27450,10200
182,12,0,182,1,9.822819649,9.230142999,1,18450,10200
183,15,1,183,1,10.5789798,9.664595644,0,39300,15750
184,15,1,184,1,10.56746336,9.61580548,0,38850,15000
185,8,1,185,2,10.33364527,9.61580548,0,30750,15000
186,15,1,186,1,10.53209621,9.92329018,0,37500,20400
187,16,1,187,3,10.98104643,9.987369037,0,58750,21750
188,12,0,188,1,10.4487146,9.838949031,0,34500,18750
189,12,0,189,1,10.49127422,9.902487052,0,36000,19980
190,8,0,190,1,10.27849345,9.71111566,0,29100,16500
191,12,0,191,1,9.71111566,9.230142999,0,16500,10200
192,12,1,192,1,9.885832617,9.453286551,1,19650,12750
193,12,0,193,1,10.11658077,9.392661929,1,24750,12000
194,15,0,194,1,10.20913233,9.664595644,1,27150,15750
195,12,0,195,1,10.18111929,9.453286551,1,26400,12750
196,16,0,196,1,10.0475879,9.392661929,1,23100,12000
197,15,1,197,3,10.91326863,10.14643373,0,54900,25500
198,19,1,198,3,11.16867304,10.68051622,0,70875,43500
199,16,1,199,3,10.8444709,10.22121375,0,51250,27480
200,17,1,200,3,11.11988288,10.46253175,0,67500,34980
201,12,1,201,1,10.28670705,9.878169745,0,29340,19500
202,15,1,202,1,10.5865844,9.71111566,0,39600,16500
203,12,1,203,1,10.27849345,9.61580548,0,29100,15000
204,15,1,204,1,10.408798,9.71111566,0,33150,16500
205,16,1,205,3,11.10870958,10.86856845,0,66750,52500
206,12,1,206,2,10.4267357,9.61580548,0,33750,15000
207,15,1,207,1,10.21464198,9.755567422,0,27300,17250
208,12,0,208,1,10.08580911,9.328123408,0,24000,11250
209,8,0,209,1,9.893437217,9.230142999,0,19800,10200
210,15,1,210,1,10.32875529,9.71111566,1,30600,16500
211,15,1,211,1,10.27332548,9.61580548,1,28950,15000
212,15,1,212,1,10.55581274,9.71111566,1,38400,16500
213,8,1,213,2,10.33364527,9.61580548,1,30750,15000
214,12,0,214,1,9.92329018,9.301094735,1,20400,10950
215,12,0,215,1,9.862665558,9.314700387,1,19200,11100
216,15,1,216,1,10.3139402,9.664595644,0,30150,15750
217,16,1,217,1,10.45218683,10.23099112,0,34620,27750
218,15,1,218,1,11.28978191,9.664595644,0,80000,15750
219,12,1,219,1,10.14053401,9.61580548,0,25350,15000
220,12,1,220,1,10.30394012,9.664595644,0,29850,15750
221,12,0,221,1,10.08580911,9.532423871,0,24000,13800
222,15,0,222,1,10.23099112,9.878169745,0,27750,19500
223,8,0,223,1,10.0145816,9.230142999,0,22350,10200
224,12,0,224,1,9.692766521,9.230142999,0,16200,10200
225,15,0,225,1,9.994241916,9.453286551,0,21900,12750
226,16,0,226,1,10.05406041,9.664595644,0,23250,15750
227,12,0,227,1,10.43117029,9.392661929,0,33900,12000
228,15,0,228,1,10.15229885,9.564512186,0,25650,14250
229,12,0,229,1,9.755567422,9.230142999,0,17250,10200
230,15,1,230,1,10.02127059,9.61580548,1,22500,15000
231,16,1,231,3,10.60162227,9.952277717,0,40200,21000
232,19,1,232,3,10.9241383,10.4267357,0,55500,33750
233,15,1,233,1,10.18678503,9.61580548,0,26550,15000
234,15,1,234,1,10.83071822,9.878169745,0,50550,19500
235,19,1,235,3,11.22524339,10.35774282,0,75000,31500
236,8,0,236,1,10.22012145,9.392661929,0,27450,12000
237,12,0,237,1,10.02791513,9.328123408,0,22650,11250
238,12,0,238,1,10.21464198,9.328123408,0,27300,11250
239,12,0,239,1,10.23099112,9.325898713,0,27750,11225
240,16,0,240,3,10.90365977,9.838949031,0,54375,18750
241,8,0,241,1,9.764225485,9.230142999,0,17400,10200
242,12,0,242,1,10.61643736,9.798127037,0,40800,18000
243,12,0,243,1,10.0475879,9.301094735,0,23100,10950
244,8,0,244,1,10.02127059,9.301094735,0,22500,10950
245,12,0,245,1,10.19241884,9.354440716,0,26700,11550
246,12,0,246,1,10.12262308,9.328123408,0,24900,11250
247,12,0,247,1,9.885832617,9.301094735,0,19650,10950
248,12,0,248,1,10.00106788,9.301094735,0,22050,10950
249,12,0,249,1,10.14643373,9.392661929,0,25500,12000
250,15,0,250,1,10.24707726,9.453286551,0,28200,12750
251,12,0,251,1,10.0475879,9.328123408,0,23100,11250
252,12,1,252,1,10.14643373,9.341368634,1,25500,11400
253,8,0,253,1,9.746833742,9.230142999,1,17100,10200
254,18,1,254,3,11.12909953,10.38868763,0,68125,32490
255,12,1,255,2,10.32875529,9.664595644,0,30600,15750
256,19,1,256,3,10.86139996,10.22121375,0,52125,27480
257,19,1,257,3,11.0328715,10.5118935,0,61875,36750
258,8,1,258,1,9.966462352,9.354440716,0,21300,11550
259,12,0,259,1,9.885832617,9.328123408,0,19650,11250
260,12,0,260,1,10.0145816,9.328123408,0,22350,11250
261,12,0,261,1,10.0604913,9.328123408,0,23400,11250
262,12,0,262,1,10.09823163,9.301094735,0,24300,10950
263,12,0,263,1,10.25765937,9.328123408,0,28500,11250
264,12,0,264,1,9.900984422,9.328123408,0,19950,11250
265,12,0,265,1,10.0604913,9.328123408,0,23400,11250
266,16,0,266,1,10.4487146,9.755567422,0,34500,17250
267,12,0,267,1,9.80642584,9.301094735,0,18150,10950
268,12,1,268,1,10.0145816,9.61580548,1,22350,15000
269,15,1,269,1,10.60162227,9.755567422,0,40200,17250
270,15,1,270,1,10.26290872,9.798127037,0,28650,18000
271,15,1,271,1,10.23099112,9.71111566,0,27750,16500
272,18,1,272,1,11.11058048,10.37286599,0,66875,31980
273,12,1,273,2,10.30895266,9.664595644,0,30000,15750
274,16,1,274,3,11.33559145,9.987369037,0,83750,21750
275,12,1,275,1,10.43117029,9.71111566,0,33900,16500
276,16,1,276,3,10.94199592,9.952277717,0,56500,21000
277,16,0,277,3,10.66895539,9.769384568,0,43000,17490
278,8,0,278,1,9.945109227,9.392661929,0,20850,12000
279,12,0,279,1,10.10438549,9.392661929,0,24450,12000
280,12,0,280,1,10.11658077,9.301094735,0,24750,10950
281,8,1,281,2,10.4487146,9.664595644,1,34500,15750
282,14,1,282,1,10.23638197,9.61580548,1,27900,15000
283,19,1,283,3,11.12909953,10.37380363,0,68125,32010
284,19,1,284,3,11.20504069,10.40426284,0,73500,33000
285,8,1,285,2,10.33364527,9.664595644,0,30750,15750
286,15,1,286,3,10.59788395,10.14643373,0,40050,25500
287,16,1,287,1,10.60534667,9.878169745,0,40350,19500
288,15,1,288,3,10.56359488,10.07449535,0,38700,23730
289,17,1,289,3,11.08214255,10.33364527,0,65000,30750
290,18,1,290,3,10.84836574,10.49791876,0,51450,36240
291,12,1,291,2,10.47022081,9.664595644,0,35250,15750
292,14,1,292,1,10.16392689,9.61580548,0,25950,15000
293,15,1,293,1,10.12862911,9.564512186,0,25050,14250
294,12,1,294,1,10.19241884,9.453286551,0,26700,12750
295,8,1,295,1,10.08580911,9.664595644,0,24000,15750
296,12,1,296,1,10.1980211,9.61580548,0,26850,15000
297,12,0,297,1,10.0604913,9.635608107,0,23400,15300
298,12,0,298,1,10.11050172,9.510444964,0,24600,13500
299,15,0,299,1,10.39053265,9.798127037,0,32550,18000
300,16,1,300,1,10.18678503,9.61580548,1,26550,15000
301,12,1,301,1,10.35774282,9.510444964,1,31500,13500
302,8,1,302,1,10.0145816,9.61580548,1,22350,15000
303,12,1,303,2,10.47022081,9.664595644,1,35250,15750
304,15,0,304,1,10.15812977,9.510444964,1,25800,13500
305,12,1,305,2,10.33364527,9.664595644,0,30750,15750
306,15,1,306,1,10.33364527,9.71111566,0,30750,16500
307,16,1,307,3,10.81977828,10.38868763,0,50000,32490
308,15,1,308,1,10.4487146,9.798127037,0,34500,18000
309,15,1,309,1,10.17542127,9.664595644,0,26250,15750
310,16,1,310,1,10.71163613,9.963641475,0,44875,21240
311,12,0,311,1,10.02127059,9.392661929,0,22500,12000
312,12,0,312,1,10.15229885,9.564512186,0,25650,14250
313,12,0,313,1,9.966462352,9.328123408,0,21300,11250
314,12,0,314,1,10.30394012,9.510444964,0,29850,13500
315,12,0,315,1,10.4487146,9.405084449,0,34500,12150
316,15,1,316,1,10.23099112,9.61580548,1,27750,15000
317,12,1,317,1,10.23099112,9.354440716,1,27750,11550
318,16,1,318,3,10.79446048,9.998343084,0,48750,21990
319,15,1,319,1,10.67844511,9.664595644,0,43410,15750
320,12,1,320,1,10.00106788,9.61580548,0,22050,15000
321,12,0,321,1,10.00106788,9.392661929,0,22050,12000
322,12,0,322,1,10.02127059,9.564512186,0,22500,14250
323,15,0,323,1,10.14643373,9.392661929,0,25500,12000
324,12,0,324,1,10.28055319,9.61580548,0,29160,15000
325,8,0,325,1,9.729134165,9.230142999,0,16800,10200
326,8,1,326,2,10.29383902,9.664595644,1,29550,15750
327,12,1,327,1,10.19241884,9.664595644,1,26700,15750
328,18,1,328,3,10.91508846,10.38868763,0,55000,32490
329,18,1,329,3,11.04292184,10.46253175,0,62500,34980
330,15,1,330,1,10.21464198,9.755567422,0,27300,17250
331,12,0,331,1,10.10438549,9.392661929,0,24450,12000
332,16,0,332,1,10.40426284,9.798127037,0,33000,18000
333,15,0,333,1,10.52002363,9.798127037,0,37050,18000
334,12,0,334,1,10.10438549,9.301094735,1,24450,10950
335,8,1,335,2,10.37192746,9.664595644,0,31950,15750
336,16,1,336,3,10.76320793,9.963641475,0,47250,21240
337,12,0,337,1,10.16969059,9.354440716,0,26100,11550
338,8,0,338,1,9.674074388,9.230142999,0,15900,10200
339,8,0,339,1,10.07323033,9.273315171,0,23700,10650
340,8,0,340,1,9.987369037,9.429475902,0,21750,12450
341,12,1,341,3,10.99204951,10.4267357,1,59400,33750
342,12,0,342,1,10.10438549,9.564512186,1,24450,14250
343,16,1,343,3,11.54732689,11.00209984,0,103500,60000
344,12,1,344,1,10.48290597,9.71111566,0,35700,16500
345,12,0,345,1,10.00784757,9.71111566,0,22200,16500
346,15,0,346,1,10.04107322,9.543234787,0,22950,13950
347,12,0,347,1,10.0475879,9.392661929,0,23100,12000
348,16,0,348,3,10.94641094,10.30895266,0,56750,30000
349,17,0,349,1,10.27849345,9.453286551,0,29100,12750
350,12,0,350,1,10.53608823,9.664595644,0,37650,15750
351,12,0,351,1,10.23638197,9.510444964,0,27900,13500
352,8,0,352,1,9.959395184,9.392661929,0,21150,12000
353,12,1,353,2,10.34817337,9.664595644,1,31200,15750
354,12,0,354,1,9.93061622,9.328123408,1,20550,11250
355,15,1,355,1,10.16392689,9.755567422,0,25950,17250
356,15,1,356,1,10.25238231,9.61580548,0,28350,15000
357,8,0,357,1,9.781319919,9.230142999,0,17700,10200
358,15,0,358,1,10.0668811,9.510444964,0,23550,13500
359,12,0,359,1,9.900984422,9.230142999,0,19950,10200
360,12,0,360,1,10.28874995,9.635608107,0,29400,15300
361,12,0,361,1,10.26813067,9.543234787,0,28800,13950
362,8,0,362,1,9.738023113,9.230142999,0,16950,10200
363,16,1,363,1,10.48290597,9.798127037,1,35700,18000
364,12,0,364,1,9.764225485,9.230142999,1,17400,10200
365,8,0,365,1,9.973479924,9.230142999,1,21450,10200
366,12,0,366,1,10.11658077,9.392661929,1,24750,12000
367,12,0,367,1,9.738023113,9.230142999,1,16950,10200
368,12,0,368,1,10.16969059,9.510444964,1,26100,13500
369,14,1,369,1,10.24174391,9.61580548,0,28050,15000
370,16,0,370,1,10.50780352,9.798127037,0,36600,18000
371,16,0,371,3,10.97035114,9.798127037,0,58125,18000
372,15,1,372,1,9.966462352,9.664595644,0,21300,15750
373,12,1,373,1,10.02127059,9.71111566,0,22500,16500
374,15,1,374,1,10.28874995,9.664595644,0,29400,15750
375,12,1,375,1,10.22012145,9.595602773,0,27450,14700
376,15,1,376,1,10.30394012,9.664595644,0,29850,15750
377,15,1,377,1,10.14053401,9.664595644,0,25350,15750
378,8,0,378,1,9.664595644,9.230142999,0,15750,10200
379,8,0,379,1,9.885832617,9.476543413,0,19650,13050
380,12,0,380,1,9.952277717,9.510444964,0,21000,13500
381,17,1,381,1,10.20359215,9.798127037,1,27000,18000
382,12,1,382,1,10.08580911,9.664595644,1,24000,15750
383,17,1,383,3,11.2708539,10.26604516,1,78500,28740
384,12,0,384,1,9.945109227,9.476543413,1,20850,13050
385,12,1,385,2,10.30895266,9.664595644,0,30000,15750
386,8,1,386,2,10.25765937,9.664595644,0,28500,15750
387,19,1,387,3,11.08214255,10.37286599,0,65000,31980
388,14,1,388,1,10.3139402,9.71111566,0,30150,16500
389,19,1,389,3,11.11058048,10.38868763,0,66875,32490
390,15,0,390,1,10.09203966,9.510444964,0,24150,13500
391,12,0,391,1,10.10438549,9.429475902,0,24450,12450
392,12,0,392,1,9.980448594,9.392661929,0,21600,12000
393,12,0,393,1,10.23638197,9.429475902,0,27900,12450
394,8,0,394,1,10.27849345,9.429475902,0,29100,12450
395,12,0,395,1,10.02791513,9.328123408,0,22650,11250
396,12,0,396,1,9.945109227,9.328123408,0,20850,11250
397,12,0,397,1,10.04107322,9.417354541,0,22950,12300
398,12,0,398,1,10.32875529,9.429475902,0,30600,12450
399,12,0,399,1,9.92329018,9.328123408,0,20400,11250
400,12,0,400,1,10.0795395,9.453286551,0,23850,12750
401,12,0,401,1,10.03451581,9.328123408,0,22800,11250
402,12,0,402,1,9.937888979,9.328123408,0,20700,11250
403,12,0,403,1,9.966462352,9.328123408,1,21300,11250
404,12,0,404,1,10.09823163,9.61580548,1,24300,15000
405,12,0,405,1,9.885832617,9.543234787,1,19650,13950
406,17,1,406,3,11.00209984,10.38868763,0,60000,32490
407,15,1,407,1,10.31890299,9.664595644,0,30300,15750
408,19,1,408,3,11.02271913,10.40426284,0,61250,33000
409,19,1,409,1,10.49127422,9.878169745,0,36000,19500
410,8,0,410,1,10.13459927,9.838949031,0,25200,18750
411,12,0,411,1,9.692766521,9.230142999,0,16200,10200
412,12,0,412,1,10.03451581,9.328123408,0,22800,11250
413,16,0,413,3,10.68051622,9.878169745,0,43500,19500
414,8,1,414,2,10.31890299,9.664595644,1,30300,15750
415,15,1,415,1,10.37192746,9.664595644,1,31950,15750
416,15,1,416,1,10.47022081,9.510444964,0,35250,13500
417,15,1,417,1,10.54006438,9.61580548,0,37800,15000
418,15,1,418,1,10.34817337,9.664595644,0,31200,15750
419,15,1,419,1,10.28874995,9.71111566,0,29400,16500
420,19,1,420,3,11.15625052,10.46424555,0,70000,35040
421,15,1,421,1,10.43117029,9.664595644,0,33900,15750
422,15,1,422,1,10.20913233,9.71111566,0,27150,16500
423,12,0,423,1,10.00784757,9.532423871,0,22200,13800
424,15,0,424,1,10.35296955,9.314700387,0,31350,11100
425,12,0,425,1,9.945109227,9.510444964,0,20850,13500
426,16,1,426,1,10.41331268,9.769384568,1,33300,17490
427,8,1,427,1,10.17542127,9.683464129,1,26250,16050
428,15,1,428,1,10.37192746,9.664595644,1,31950,15750
429,8,1,429,2,10.30895266,9.664595644,1,30000,15750
430,19,1,430,3,11.10119074,10.46253175,1,66250,34980
431,18,1,431,3,11.36500533,10.71441777,0,86250,45000
432,12,1,432,1,10.33364527,9.61580548,0,30750,15000
433,12,1,433,1,10.42049404,9.664595644,0,33540,15750
434,16,1,434,1,10.46167375,9.915910073,0,34950,20250
435,15,1,435,1,10.60534667,9.71111566,0,40350,16500
436,12,1,436,1,10.3179124,9.664595644,0,30270,15750
437,8,1,437,1,10.17542127,9.683464129,0,26250,16050
438,15,1,438,1,10.3859137,9.61580548,0,32400,15000
439,12,0,439,1,9.92329018,9.328123408,0,20400,11250
440,8,0,440,1,10.09203966,9.453286551,0,24150,12750
441,15,0,441,1,10.0795395,9.510444964,0,23850,13500
442,12,0,442,1,10.29890232,9.510444964,0,29700,13500
443,8,0,443,1,9.980448594,9.510444964,0,21600,13500
444,12,0,444,1,10.10438549,9.664595644,0,24450,15750
445,15,1,445,1,10.24174391,9.71111566,1,28050,16500
446,16,1,446,3,11.51292547,10.69421506,1,100000,44100
447,15,1,447,1,10.79957558,9.93061622,1,49000,20550
448,12,0,448,1,9.701983176,9.230142999,1,16350,10200
449,16,1,449,3,11.15625052,9.987369037,0,70000,21750
450,19,1,450,3,10.91508846,10.46253175,0,55000,34980
451,15,1,451,1,10.25765937,9.564512186,0,28500,14250
452,12,1,452,1,10.26813067,9.798127037,0,28800,18000
453,15,1,453,1,10.10438549,9.664595644,0,24450,15750
454,19,1,454,3,11.41448539,10.34977466,0,90625,31250
455,16,1,455,3,10.68395856,9.878169745,0,43650,19500
456,19,1,456,3,11.22524339,10.65749462,0,75000,42510
457,15,1,457,1,10.36249343,9.564512186,0,31650,14250
458,19,1,458,3,11.0328715,10.26604516,0,61875,28740
459,12,0,459,1,9.987369037,9.328123408,0,21750,11250
460,12,0,460,1,10.02127059,9.453286551,0,22500,12750
461,8,0,461,1,9.980448594,9.510444964,0,21600,13500
462,16,0,462,3,10.4461025,9.878169745,0,34410,19500
463,15,0,463,1,9.937888979,9.564512186,0,20700,14250
464,19,1,464,3,10.76953707,10.40426284,0,47550,33000
